REGION,STORM_NO,NAME,ADVISORY,ADV_DATE,ADV_HOUR,SPEED,PRESSURE,TYPE,LAT,LONG
W,0,THIRTYSIX,0,2018-12-30,1800,30,0,D,111,6.6
W,0,THIRTYSIX,0,2018-12-30,1200,30,0,D,111.2,7.7
W,0,THIRTYFIVE,0,2018-12-29,1200,15,0,D,118.7,9.4
W,0,THIRTYFIVE,0,2018-12-29,600,20,0,D,119.3,9.2
W,0,THIRTYFIVE,0,2018-12-29,0,25,0,D,119.9,8.8
W,0,THIRTYFIVE,0,2018-12-28,1800,25,0,D,120.7,8.5
W,0,THIRTYFIVE,0,2018-12-28,1200,25,0,D,122.7,12.3
W,0,THIRTYFIVE,0,2018-12-28,600,25,0,D,123.7,12.3
W,0,THIRTYFIVE,0,2018-12-28,0,30,0,D,124.6,11.9
W,0,THIRTYFIVE,0,2018-12-27,1800,30,0,D,126.1,11.7
W,0,THIRTYFIVE,0,2018-12-27,1200,30,0,D,127.1,11.1
W,0,THIRTYFIVE,0,2018-12-27,600,30,0,D,127.9,10.9
W,0,THIRTYFIVE,0,2018-12-27,0,30,0,D,128,10.7
W,0,THIRTYFIVE,0,2018-12-26,1800,25,0,D,128.5,10.8
W,0,THIRTYFIVE,0,2018-12-26,1200,25,0,D,129.2,10.6
W,0,THIRTYFIVE,0,2018-12-26,600,25,0,D,129.9,10.4
W,0,THIRTYFIVE,0,2018-12-26,0,25,0,D,129.1,10.6
W,0,THIRTYFIVE,0,2018-12-25,1800,25,0,D,130.1,10.3
W,0,THIRTYFIVE,0,2018-12-25,1200,25,0,D,130.6,10
W,0,THIRTYFIVE,0,2018-12-25,600,25,0,D,132.4,9.8
W,0,THIRTYFIVE,0,2018-12-25,0,25,0,D,133,9.8
W,0,THIRTYFIVE,0,2018-12-24,1800,25,0,D,133.9,10
W,0,THIRTYFIVE,0,2018-12-24,1200,25,0,D,134.9,8.8
W,0,THIRTYFIVE,0,2018-12-24,600,25,0,D,135.2,8.2
W,0,THIRTYFIVE,0,2018-12-24,0,25,0,D,135.7,7.5
W,0,THIRTYFIVE,0,2018-12-23,1800,25,0,D,135.8,7.2
I,0,PHETHAI,0,2018-12-17,0,20,0,D,84.3,19.4
I,0,PHETHAI,0,2018-12-16,1800,25,0,D,83.3,18.2
I,0,PHETHAI,0,2018-12-16,1200,30,0,D,82.3,17.3
I,0,PHETHAI,0,2018-12-16,600,45,0,S,82.3,16.2
I,0,PHETHAI,0,2018-12-16,0,45,0,S,82.4,15.3
I,0,PHETHAI,0,2018-12-15,1800,55,0,S,82.2,14.2
I,0,PHETHAI,0,2018-12-15,1200,55,0,S,83.1,13.4
I,0,PHETHAI,0,2018-12-15,600,50,0,S,84.1,12.3
I,0,PHETHAI,0,2018-12-15,0,45,0,S,84.4,11.3
I,0,PHETHAI,0,2018-12-14,1800,40,0,S,84.8,10.7
I,0,PHETHAI,0,2018-12-14,1200,35,0,S,85.1,10.4
I,0,GAJA,0,2018-12-10,1800,35,0,S,87.7,13.2
I,0,GAJA,0,2018-12-10,1200,40,0,S,87.6,12.6
I,0,GAJA,0,2018-12-10,600,40,0,S,87.3,12.2
I,0,GAJA,0,2018-12-10,0,35,0,S,87,12.4
I,0,LUBAN,0,2018-12-09,1800,40,0,S,56.4,14.6
I,0,LUBAN,0,2018-12-09,1200,45,0,S,57.1,14.6
I,0,LUBAN,0,2018-12-09,600,50,0,S,57.4,14.6
I,0,LUBAN,0,2018-12-09,0,50,0,S,57.6,14.6
I,0,TITLI,0,2018-12-09,1200,20,0,D,86.6,22.4
I,0,TITLI,0,2018-12-09,600,35,0,S,85.7,21.8
W,0,MANGKHUT,0,2018-12-08,1800,155,0,H,132.5,14.3
W,0,MANGKHUT,0,2018-12-08,1200,150,0,H,134,14.2
W,0,MANGKHUT,0,2018-12-08,600,150,0,H,135.2,14
W,0,MANGKHUT,0,2018-12-08,0,140,0,H,136.2,13.9
W,0,BARIJAT,0,2018-12-08,1800,35,0,S,112.3,20.8
W,0,BARIJAT,0,2018-12-08,1200,40,0,S,113.5,20.9
W,0,BARIJAT,0,2018-12-08,600,40,0,S,114.5,20.9
W,0,BARIJAT,0,2018-12-08,0,40,0,S,115.5,20.7
